arm_id,state_index,year,dp_gap,tpr_gap,fpr_gap,equalized_odds_max_gap
D6_ARM_003,2,2024,0.012261817128708781,0.0581348879105822,0.005600528912684963,0.0581348879105822
D6_ARM_003,3,2022,0.011305556820961637,0.051580982711555964,0.0059117672810872785,0.051580982711555964
D6_ARM_003,3,2023,0.008096341106299162,0.030392368999963934,0.004855269227294127,0.030392368999963934
D6_ARM_003,3,2024,0.011217100228749392,0.0586074777026427,0.004372781828584287,0.0586074777026427
D6_ARM_003,4,2022,0.010954186476618699,0.04839626933575979,0.0059117672810872785,0.04839626933575979
D6_ARM_003,4,2023,0.0068155213816754046,0.02880918893577121,0.0036916478696046623,0.02880918893577121
D6_ARM_003,4,2024,0.010947194695685964,0.05908006749470319,0.004028156141869223,0.05908006749470319
D6_ARM_003,5,2022,0.010088877204311609,0.04521155595996361,0.005344028932152359,0.04521155595996361
D6_ARM_003,5,2023,0.006457088689519426,0.026593097479173433,0.00361027759416628,0.026593097479173433
D6_ARM_003,5,2024,0.009902477795726573,0.052368658098730037,0.0037589082865339494,0.052368658098730037
D6_ARM_003,6,2022,0.005872433072196358,0.022231749142577167,0.003412503803746278,0.022231749142577167
D6_ARM_003,6,2023,0.003063900572959836,0.01614735475494969,0.0010036547934753719,0.01614735475494969
D6_ARM_003,6,2024,0.004764936342230304,0.026342387603980326,0.0014219063109082897,0.026342387603980326
D6_ARM_003,7,2022,0.005642989165569334,0.016549135577798,0.003893845332084196,0.016549135577798
D6_ARM_003,7,2023,0.002576401754648109,0.01171517184175412,0.0010850250689137544,0.01171517184175412
D6_ARM_003,7,2024,0.004904557271407588,0.0277601569801618,0.0014595952265981853,0.0277601569801618
D6_ARM_004,0,2022,0.0027100999731099226,0.004497095261426472,0.002141272859926527,0.004497095261426472
D6_ARM_004,0,2023,0.0021032857794920164,0.005384254751343359,0.0013237200165065414,0.005384254751343359
D6_ARM_004,0,2024,0.002110122569181487,0.01351797109907258,0.00030722597387730123,0.01351797109907258
D6_ARM_004,1,2022,0.002669457827204619,0.004497095261426472,0.0020980744496280263,0.004497095261426472
D6_ARM_004,1,2023,0.002423490710647956,0.004751343358938296,0.0017251555149760934,0.004751343358938296
D6_ARM_004,1,2024,0.002040312104592845,0.01351797109907258,0.00023184814249750966,0.01351797109907258
D6_ARM_004,2,2022,0.0026025825041988077,0.011802687758101772,0.0013513834444446944,0.011802687758101772
D6_ARM_004,2,2023,0.0022561968234921692,0.006650077536153486,0.0014050902919449239,0.006650077536153486
D6_ARM_004,2,2024,0.002014743197589664,0.011753424425808689,0.0004579816366368835,0.011753424425808689
D6_ARM_004,3,2022,0.0026025825041988077,0.011802687758101772,0.0013513834444446944,0.011802687758101772
D6_ARM_004,3,2023,0.0022944245844922074,0.006650077536153486,0.0014457754296641149,0.006650077536153486
D6_ARM_004,3,2024,0.0017797428968205574,0.011753424425808689,0.0001887337813016106,0.011753424425808689
D6_ARM_004,4,2022,0.0031021124633581637,0.012926961573458389,0.0016599313315886085,0.012926961573458389
D6_ARM_004,4,2023,0.0018069257661804815,0.01108045728298893,0.0006022192950058203,0.01108045728298893
D6_ARM_004,4,2024,0.0007605949038643482,0.008224331079280903,0.00041971431524272327,0.008224331079280903
D6_ARM_004,5,2022,0.0016703979088859068,0.006806887380135787,0.0009996371470022795,0.006806887380135787
D6_ARM_004,5,2023,0.0005881787204011645,0.006648274369793358,0.00015455068549173265,0.006648274369793358
D6_ARM_004,5,2024,0.0002650253953229535,0.005640417316874098,0.0005382065078184139,0.005640417316874098
D6_ARM_004,6,2022,0.0013190275645429692,0.004995800377965983,0.0009132403264052774,0.004995800377965983
D6_ARM_004,6,2023,0.00047349543740104983,0.003166360128385445,0.00012482939982024583,0.003166360128385445
D6_ARM_004,6,2024,0.0002650253953229535,0.005640417316874098,0.0005382065078184139,0.005640417316874098
D6_ARM_004,7,2022,0.002062410399134148,0.00818051375376216,0.0013513834444446944,0.00818051375376216
D6_ARM_004,7,2023,0.0008319281295570279,0.006648274369793358,0.00012482939982024583,0.006648274369793358
D6_ARM_004,7,2024,0.00023012016302863258,0.00611300710893459,0.000613584339198205,0.00611300710893459
D6_ARM_004,8,2022,0.0017110400547912107,0.004308987191152797,0.0013945818547431957,0.004308987191152797
D6_ARM_004,8,2023,0.0008701558905570661,0.0037992715207905087,0.0005262648982897974,0.0037992715207905087
