arm_id,year,state_index,preceding_state_index,pathwise_marginal_delta_d_phi,cumulative_delta_from_baseline_d_phi,pathwise_marginal_delta_auroc,cumulative_delta_from_baseline_auroc,pathwise_marginal_delta_auprc,cumulative_delta_from_baseline_auprc,pathwise_marginal_delta_ks_statistic,cumulative_delta_from_baseline_ks_statistic,pathwise_marginal_delta_selection_rate,cumulative_delta_from_baseline_selection_rate,pathwise_marginal_delta_count_predicted_positive,cumulative_delta_from_baseline_count_predicted_positive
D6_ARM_002,2023,10,9,3.099865436776957e-05,-0.0031198131658032795,-0.001982279775386342,0.003442111277203286,-0.0009440888427765526,0.004629506990940474,-0.008320605038799056,0.003355869634595998,-0.0001365980261585219,-0.00037564457193593574,-4.0,-11.0
D6_ARM_002,2023,11,10,0.00011793951280663186,-0.0030018736529966476,-0.01970320492498656,-0.016261093647783276,-0.02660792624390415,-0.021978419252963677,-0.03179043027138828,-0.028434560636792283,-0.002390465457774135,-0.002766110029710071,-70.0,-81.0
D6_ARM_002,2023,12,11,9.017793479351765e-05,-0.00291169571820313,-0.0010393301271764965,-0.017300423774959772,0.0003660730721566363,-0.02161234618080704,-0.0041988603910066424,-0.032633421027798926,-0.00017074753269815258,-0.0029368575624082235,-5.0,-86.0
D6_ARM_002,2024,1,0,-0.0009365466698610936,-0.0009365466698610936,0.0007334704787607116,0.0007334704787607116,0.000283813489140583,0.000283813489140583,0.0031836196746853895,0.0031836196746853895,3.090712409210394e-05,3.090712409210394e-05,1.0,1.0
D6_ARM_002,2024,2,1,0.00013625289029642763,-0.000800293779564666,0.013054793951685406,0.013788264430446118,0.008116727386648065,0.008400540875788648,0.02588036487791623,0.02906398455260162,-0.00018544274455261972,-0.00015453562046051578,-6.0,-5.0
D6_ARM_002,2024,3,2,-0.0010538719006880385,-0.0018541656802527045,-0.00042624695152615466,0.013362017478919963,-9.68608074414512e-05,0.008303680068347197,-0.0016545977538474088,0.02740938679875421,3.09071240921035e-05,-0.00012362849636841228,1.0,-4.0
D6_ARM_002,2024,4,3,-0.0007127276593788851,-0.0025668933396315896,-0.0001034639082855282,0.013258553570634435,-0.00012348179434584772,0.008180198274001349,-0.0006762138163683984,0.02673317298238581,0.00040179261319734164,0.00027816411682892936,13.0,9.0
D6_ARM_002,2024,5,4,0.0002759051253952219,-0.0022909882142363677,-0.00019987792227604828,0.013058675648358387,6.305350622054506e-05,0.008243251780221894,0.0007768499119004679,0.02751002289428628,-0.00015453562046051621,0.00012362849636841314,-5.0,4.0
D6_ARM_002,2024,6,5,-0.0006250313587849465,-0.002916019573021314,-0.0015456680500780529,0.011513007598280334,-0.0017915299644648552,0.006451721815757039,-0.0026948531870313874,0.02481516970725489,-0.00021634986864472235,-9.272137227630921e-05,-7.0,-3.0
D6_ARM_002,2024,7,6,4.942033297451092e-05,-0.0028665992400468032,-0.0018955313279498398,0.009617476270330494,-0.0030254576704436265,0.0034262641453134124,-0.0024985165765597506,0.02231665313069514,-0.00043269973728944514,-0.0005254211095657543,-14.0,-17.0
D6_ARM_002,2024,8,7,0.00028938183226554165,-0.0025772174077812616,-4.860957756092077e-05,0.009568866692769573,-0.0010423117926622594,0.002383952352651153,-0.00036917357329385725,0.021947479557401284,6.181424818420614e-05,-0.0004636068613815482,2.0,-15.0
D6_ARM_002,2024,9,8,4.3378822087903994e-05,-0.0025338385856933576,0.0003881369379846733,0.009957003630754246,0.0002536190452998577,0.0026375713979510107,0.0005916150848309654,0.02253909464223225,-9.272137227630964e-05,-0.0005563282336578578,-3.0,-18.0
D6_ARM_002,2024,10,9,3.6098992157351534e-05,-0.002497739593536006,-0.0035055124805777327,0.006451491150176514,-0.0018242862811583826,0.000813285116792628,-0.006208502175137909,0.01633059246709434,-6.181424818420614e-05,-0.000618142481842064,-2.0,-20.0
D6_ARM_002,2024,11,10,-0.0007510994349396939,-0.0032488390284757,-0.02385610915692371,-0.017404618006747197,-0.03470556319570978,-0.03389227807891715,-0.03203419600648949,-0.01570360353939515,-0.0018235203214340906,-0.0024416628032761546,-59.0,-79.0
